Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1207;21101049052;"Jindal Global Law Review";journal;"09752498, 23644869";"Springer Science and Business Media B.V.";No;No;0,114;Q4;4;20;36;0;7;31;0,19;0,00;78,95;1;9;Germany;Western Europe;"Springer Science and Business Media B.V.";"2015-2017, 2020-2024";"Law (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1208;20000195031;"Krisis";journal;"18757103, 0168275X";"Boom Uitgevers";Yes;Yes;0,114;Q4;10;11;82;238;19;78;0,19;21,64;44,44;0;1;Netherlands;Western Europe;"Boom Uitgevers";"2011-2024";"Cultural Studies (Q3); Philosophy (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1209;21100216568;"Revista d'Estudis Autonomics i Federals";journal;"18862632";"Institut d'Estudis Autonomics";Yes;Yes;0,114;Q4;9;24;37;852;8;36;0,19;35,50;53,85;12;14;Spain;Western Europe;"Institut d'Estudis Autonomics";"2012-2024";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1210;21100268385;"Formation Emploi";journal;"21070946, 07596340";"Documentation Francaise";No;No;0,113;Q4;9;53;116;1518;21;96;0,12;28,64;58,73;0;29;France;Western Europe;"Documentation Francaise";"2012-2024";"Organizational Behavior and Human Resource Management (Q4); Sociology and Political Science (Q4)";"Business, Management and Accounting; Social Sciences"
1211;21101039258;"Political Economy of Communication";journal;"23571705";"International Association of Media Communication Research";No;No;0,113;Q4;12;0;29;0;8;26;0,28;0,00;0,00;0;0;New Zealand;Pacific Region;"International Association of Media Communication Research";"2013-2018, 2020-2021, 2023-2024";"Communication (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1212;5700168298;"Souls";journal;"10999949, 15483843";"Taylor and Francis Ltd.";No;No;0,113;Q4;26;12;51;0;13;36;0,20;0,00;45,45;0;6;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1999-2000, 2002-2022";"Cultural Studies (Q3); Sociology and Political Science (Q4)";"Social Sciences"
1213;21100241803;"Amme Idaresi Dergisi";journal;"13001795";"Turkiye ve Orta Dogu Amme Idaresi Enstitusu";No;No;0,112;Q4;8;12;62;749;7;62;0,07;62,42;25,00;0;4;Turkey;Middle East;"Turkiye ve Orta Dogu Amme Idaresi Enstitusu";"2008-2024";"Public Administration (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1214;19079;"International Journal of African Historical Studies";journal;"03617882";"Boston University";No;No;0,112;Q4;25;17;52;0;12;51;0,28;0,00;21,74;0;5;United States;Northern America;"Boston University";"1976, 1979-1981, 1985-1989, 1999-2024";"Cultural Studies (Q3); History (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1215;21101021456;"Revista de Pensamiento Estrategico y Seguridad CISDE";journal;"25298763";"United Academic Journals (UA Journals)";No;No;0,112;Q4;5;12;38;504;3;33;0,12;42,00;14,29;0;3;Spain;Western Europe;"United Academic Journals (UA Journals)";"2019-2024";"History (Q3); Law (Q4); Political Science and International Relations (Q4); Safety Research (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1216;19600157304;"Southeastern Europe";journal;"00944467, 18763332";"Brill Academic Publishers";No;No;0,112;Q4;15;9;45;446;10;45;0,29;49,56;11,11;0;4;Netherlands;Western Europe;"Brill Academic Publishers";"1976-1980, 1983-1990, 2002, 2005, 2007, 2009-2023";"Cultural Studies (Q3); History (Q3); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1217;20600195060;"Cadernos de Linguagem e Sociedade";journal;"01049712, 21794790";"";No;No;0,111;Q4;4;28;71;774;6;68;0,09;27,64;60,61;1;5;Brazil;Latin America;"";"2012-2024";"Linguistics and Language (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1218;19700173013;"Co-herencia";journal;"17945887";"Universidad EAFIT";Yes;Yes;0,111;Q4;8;28;80;1025;19;76;0,25;36,61;29,03;1;4;Colombia;Latin America;"Universidad EAFIT";"2009-2024";"History (Q3); Literature and Literary Theory (Q3); Music (Q3); Philosophy (Q3); Visual Arts and Performing Arts (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1219;21101060471;"East/West: Journal of Ukrainian Studies";journal;"22927956";"University of Alberta";Yes;Yes;0,111;Q4;4;25;66;790;13;48;0,21;31,60;33,33;0;4;Canada;Northern America;"University of Alberta";"2019-2023";"History (Q3); Literature and Literary Theory (Q3); Linguistics and Language (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1220;21486;"European Human Rights Law Review";journal;"13611526";"Sweet and Maxwell-Thomson Reuters";No;No;0,111;Q4;5;53;223;104;21;132;0,09;1,96;43,18;0;38;United Kingdom;Western Europe;"Sweet and Maxwell-Thomson Reuters";"1998, 2001, 2003, 2019-2024";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1221;21100202947;"History of Economic Ideas";journal;"11228792, 17242169";"Fabrizio Serra Editore Srl";No;No;0,111;Q4;9;24;71;918;15;65;0,16;38,25;20,83;0;1;Italy;Western Europe;"Fabrizio Serra Editore Srl";"2011-2024";"History (Q3); Economics and Econometrics (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
1222;17700154915;"Multitudes";journal;"17775841, 02920107";"Association Multitudes";No;No;0,111;Q4;14;76;266;743;24;236;0,07;9,78;32,86;1;5;France;Western Europe;"Association Multitudes";"2000-2024";"Philosophy (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1223;22166;"Osteuropa";journal;"00306428";"Berliner Wissenschafts-Verlag";No;No;0,111;Q4;12;102;279;3170;34;265;0,14;31,08;40,24;0;0;Germany;Western Europe;"Berliner Wissenschafts-Verlag";"1974, 1976, 1978-1979, 1984, 1986, 1996-2024";"Sociology and Political Science (Q4)";"Social Sciences"
1224;21100812584;"Revista Republicana";journal;"19094450, 22565027";"Corporacion Universitaria Republicana";Yes;No;0,111;Q4;8;20;58;811;13;58;0,27;40,55;42,00;0;12;Colombia;Latin America;"Corporacion Universitaria Republicana";"2016-2024";"Law (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1225;21100291843;"Seoul Journal of Korean Studies";journal;"12250201";"Kyujanggak Institute for Korean Studies, Seoul National University";No;No;0,111;Q4;4;15;52;663;4;43;0,03;44,20;35,71;1;3;South Korea;Asiatic Region;"Kyujanggak Institute for Korean Studies, Seoul National University";"2013-2024";"Cultural Studies (Q3); Archeology (Q4); Arts and Humanities (miscellaneous) (Q4); Linguistics and Language (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1226;21100865030;"Soviet and Post-Soviet Politics and Society";book series;"16143515";"Ibidem Verlag";No;No;0,111;Q4;3;132;221;4070;13;140;0,05;30,83;47,22;0;3;Germany;Western Europe;"Ibidem Verlag";"2018-2024";"History (Q3); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1227;21100461423;"Advances in Race and Ethnicity in Education";book series;"20512325, 20512317";"Emerald Group Publishing Ltd.";No;No;0,110;Q4;8;11;11;717;10;3;0,91;65,18;0,00;0;8;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2013-2014, 2016-2017, 2020, 2022-2023";"Anthropology (Q4); Education (Q4); Gender Studies (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1228;21100451314;"Chinese and Comparative Law Series";book series;"22134875";"Brill Academic Publishers";No;No;0,110;Q4;4;1;17;0;0;3;0,00;0,00;0,00;0;0;Netherlands;Western Europe;"Brill Academic Publishers";"2012, 2015, 2017-2024";"Law (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1229;21100902943;"Discourse Approaches to Politics, Society and Culture";book series;"15699463";"John Benjamins Publishing Company";No;No;0,110;Q4;7;31;67;1917;30;3;0,25;61,84;0,00;0;13;Netherlands;Western Europe;"John Benjamins Publishing Company";"2018-2023, 2025";"Communication (Q4); Gender Studies (Q4); Linguistics and Language (Q4); Social Psychology (Q4); Sociology and Political Science (Q4)";"Psychology; Social Sciences"
1230;19300156907;"Feministische Studien";journal;"23659920, 07235186";"Walter de Gruyter GmbH";No;No;0,110;Q4;8;48;65;411;9;58;0,15;8,56;91,53;1;1;Germany;Western Europe;"Walter de Gruyter GmbH";"2008-2024";"Gender Studies (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1231;21100222908;"Filosofia Politica";journal;"03947297";"Il Mulino publishing house";No;No;0,110;Q4;4;33;91;1655;9;83;0,07;50,15;30,00;0;3;Italy;Western Europe;"Il Mulino publishing house";"2012-2024";"History (Q3); Philosophy (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1232;21101050911;"Historijski Pogledi";journal;"26371502, 27120651";"Centar za istrazivanje moderne i savremene historije Tuzla";Yes;Yes;0,110;Q4;2;36;91;1021;6;78;0,06;28,36;23,08;0;8;Bosnia and Herzegovina;Eastern Europe;"Centar za istrazivanje moderne i savremene historije Tuzla";"2018-2024";"History (Q3); Demography (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1233;21100396382;"Materiali per una Storia della Cultura Giuridica";journal;"11209607";"Societa Editrice Il Mulino";No;No;0,110;Q4;5;24;91;1228;7;90;0,07;51,17;26,09;0;6;Italy;Western Europe;"Societa Editrice Il Mulino";"2015-2024";"Law (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1234;17784;"Research in the Sociology of Health Care";book series;"02754959";"Emerald Group Publishing Ltd.";No;No;0,110;Q4;13;10;24;367;10;13;0,82;36,70;0,00;0;6;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1991, 1996, 2000-2020, 2022";"Nursing (miscellaneous) (Q4); Public Health, Environmental and Occupational Health (Q4); Sociology and Political Science (Q4)";"Medicine; Nursing; Social Sciences"
1235;17300154984;"Revue d'Anthropologie des Connaissances";journal;"17605393";"Cairn France";Yes;Yes;0,110;Q4;17;0;35;0;6;35;0,00;0,00;0,00;0;0;France;Western Europe;"Cairn France";"2007-2020";"Anthropology (Q4); Education (Q4); History and Philosophy of Science (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1236;21100215942;"Social Sciences and Missions";journal;"18748945, 18748937";"Brill Academic Publishers";No;No;0,110;Q4;6;13;43;718;17;41;0,31;55,23;46,15;0;8;Netherlands;Western Europe;"Brill Academic Publishers";"2012-2024";"Cultural Studies (Q3); Religious Studies (Q3); Social Sciences (miscellaneous) (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1237;21100406934;"Studies in Global Social History";book series;"18746705";"Brill Academic Publishers";No;No;0,110;Q4;11;22;63;1038;14;3;0,23;47,18;0,00;2;8;Netherlands;Western Europe;"Brill Academic Publishers";"2008-2024";"Cultural Studies (Q3); History (Q3); Demography (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1238;21100406737;"Studies in the History of Political Thought";book series;"18736548";"Brill Academic Publishers";No;No;0,110;Q4;5;16;21;1072;1;3;0,05;67,00;0,00;0;0;Netherlands;Western Europe;"Brill Academic Publishers";"2009-2012, 2014-2015, 2018-2022, 2025";"History (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1239;21101044796;"Confluences Mediterranee";journal;"11482664, 21025991";"Pepper-L'Harmattan";No;No;0,109;Q4;4;33;157;810;21;151;0,11;24,55;34,48;0;3;France;Western Europe;"Pepper-L'Harmattan";"2019-2024";"Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1240;13818;"Cornell Journal of Law and Public Policy";journal;"10690565";"Joe Christensen, Inc.";No;No;0,109;Q4;13;7;45;2066;13;44;0,17;295,14;57,14;0;0;United States;Northern America;"Joe Christensen, Inc.";"1993, 1997-2002, 2004-2007, 2009, 2011-2023";"Law (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1241;14973;"Histoire Sociale";journal;"19186576, 00182257";"University of Toronto Press";No;No;0,109;Q4;14;19;65;581;6;61;0,08;30,58;54,55;0;6;Canada;Northern America;"University of Toronto Press";"1976-1977, 1979, 1981, 1983-1987, 1996-2024";"History (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1242;21100894867;"International Journal of Cuban Studies";journal;"17563461, 1756347X";"Pluto Journals";Yes;Yes;0,109;Q4;4;9;50;270;8;42;0,16;30,00;14,29;0;5;United Kingdom;Western Europe;"Pluto Journals";"2018-2024";"Cultural Studies (Q3); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1243;12100157012;"Maghreb - Machrek";journal;"22716815, 17623162";"Editions ESKA";No;No;0,109;Q4;6;7;64;125;6;62;0,09;17,86;100,00;0;1;France;Western Europe;"Editions ESKA";"1987, 1989-1990, 2007-2024";"Cultural Studies (Q3); History (Q3); Literature and Literary Theory (Q3); Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1244;21100786380;"Perspectives on Federalism";journal;"20365438";"Centro Studi Sul Federalismo";Yes;Yes;0,109;Q4;7;12;34;512;5;33;0,14;42,67;58,33;0;4;Italy;Western Europe;"Centro Studi Sul Federalismo";"2016-2024";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1245;21100219932;"Temas Americanistas";journal;"02124408, 19887868";"Departamento de Historia de America, Universidad de Sevilla";Yes;No;0,109;Q4;6;26;94;1342;14;92;0,15;51,62;46,43;0;1;Spain;Western Europe;"Departamento de Historia de America, Universidad de Sevilla";"2012-2024";"History (Q3); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1246;21100826381;"Woman in Russian Society";journal;"19922892, 2500221X";"Ivanovo State University Publishing";No;No;0,109;Q4;8;56;146;1066;33;146;0,20;19,04;78,57;0;43;Russian Federation;Eastern Europe;"Ivanovo State University Publishing";"2017-2024";"Gender Studies (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1247;5700164093;"Comparative American Studies";journal;"17412676, 14775700";"Maney Publishing";No;No;0,108;Q4;8;25;63;1060;10;56;0,18;42,40;46,15;0;9;United Kingdom;Western Europe;"Maney Publishing";"2008-2025";"Cultural Studies (Q3); Arts and Humanities (miscellaneous) (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1248;17681;"Contemporary Sociology";journal;"19398638, 00943061";"American Sociological Association";No;No;0,108;Q4;30;13;68;205;5;53;0,00;15,77;55,56;0;2;United States;Northern America;"American Sociological Association";"1979, 1996-1998, 2000, 2002, 2004-2025";"Sociology and Political Science (Q4)";"Social Sciences"
1249;5600152882;"Cultures et Conflits";journal;"17775345, 1157996X";"Pepper-L'Harmattan";No;No;0,108;Q4;8;8;58;356;12;56;0,21;44,50;37,50;1;0;France;Western Europe;"Pepper-L'Harmattan";"1997, 2016-2024";"Law (Q4); Political Science and International Relations (Q4); Sociology and Political Science (Q4)";"Social Sciences"
1250;19900193223;"International Journal of Environmental, Cultural, Economic and Social Sustainability";book series;"18322077";"Common Ground Research Networks";No;No;0,108;Q4;7;1;11;2;1;11;0,17;2,00;0,00;0;0;United States;Northern America;"Common Ground Research Networks";"2011-2020, 2022";"Geography, Planning and Development (Q4); Management, Monitoring, Policy and Law (Q4); Renewable Energy, Sustainability and the Environment (Q4); Sociology and Political Science (Q4)";"Energy; Environmental Science; Social Sciences"
1251;16300154709;"Journal of Asian History";journal;"0021910X";"Otto Harrassowitz GmbH. Co.KG";No;No;0,108;Q4;9;10;5;633;1;4;0,20;63,30;41,67;0;2;Germany;Western Europe;"Otto Harrassowitz GmbH. Co.KG";"2002-2018, 2021-2023";"History (Q3); Cultural Studies (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1252;21100286471;"Journal of Social Research and Policy";journal;"20689861, 20672640";"Editura Universitatii din Oradea";Yes;Yes;0,108;Q4;14;0;7;0;3;7;0,00;0,00;0,00;0;0;Romania;Eastern Europe;"Editura Universitatii din Oradea";"2010-2019";"Sociology and Political Science (Q4)";"Social Sciences"
1253;21100239603;"Public Reason";journal;"20657285, 20658958";"Universitatea din Bucuresti";Yes;Yes;0,108;Q4;6;10;26;96;1;25;0,00;9,60;25,00;0;0;Romania;Eastern Europe;"Universitatea din Bucuresti";"2012-2022";"Philosophy (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
1254;5600152922;"Revue du MAUSS";journal;"12474819";"Editions La Decouverte";No;No;0,108;Q4;15;41;184;705;18;179;0,08;17,20;19,44;0;0;France;Western Europe;"Editions La Decouverte";"2001-2024";"Philosophy (Q4); Sociology and Political Science (Q4)";"Arts and Humanities; Social Sciences"
